	Name	Categories	Extrainfo
Frank	Cho	Illustration, Comic, DC Comics, Marvel, Cover Art, South Korea, USA	
James C.	Christensen	Illustration, Painting, Oil, Mythology, Fantasy, USA	
Frederic Edwin	Church	Painting, Oil, Landscape, Romanticism, USA, 19th Century	
	Cimabue (Cenni di Pepo)	Painting, Tempera, Portrait, Mythology, Italy, 13th Century	
Mikalojus	Ciurlionis	Painting, Symbolism, Lithuania, 19th Century	
Harry	Clarke	Illustration, Stained Glass, Ireland	
Henry	Clive	Illustration, Cover Art, Portrait, Australia, USA	
Becky	Cloonan	Comic, DC Comics, B&W, USA	
Ron	Cobb	Illustration, Character Design, Concept Art, USA	
Alvin Langdon	Coburn	Photography, Portrait, B&W, USA	
Chris	Cold	Illustration, Concept Art, Game Art, Spain	
Charles Edward	Conder	Painting, Oil, Landscape, Portrait, Impressionism, UK, 19th Century	
George	Condo	Painting, Oil, Portrait, Cubism, USA	
John	Constable	Painting, Oil, Landscape, UK, 18th Century	
Yvonne	Coomber	Painting, Oil, Botanical, UK	
Richard	Corben	Comic, DC Comics, Marvel, Horror, USA	
Paul	Corfield	Painting, Landscape, UK	
Lovis	Corinth	Painting, Oil, Portrait, Impressionism, Expressionism, Germany, 19th Century	
Jean-Baptiste Camille	Corot	Painting, Oil, Landscape, Realism, France, 18th Century	
Shawn	Coss	Illustration, USA	
Francesco del	Cossa	Painting, Oil, Portrait, Mythology, Italy, 15th Century	
Walter	Crane	Illustration, Painting, Art Nouveau, Children's Book, UK, 19th Century	
Guido	Crepax	Illustration, Comic, Graphic Novel, Cover Art, Nudity, B&W, Italy	
Gregory	Crewdson	Photography, Portrait, Realism, USA	
Debbie	Criswell	Painting, USA	
Njideka Akunyili	Crosby	Painting, Oil, Acrylic, Pastels, Collage, Portrait, Nigeria, USA	
Henri Edmond	Cross	Painting, Oil, Watercolor, Landscape, Pointillism, France, 19th Century	
Nicolas de	Crécy	Comic, Disney, France	
John	Currin	Painting, Oil, Portrait, Nudity, USA	
Paul	Cézanne	Painting, Oil, Landscape, Portrait, Cubism, Impressionism, France, 19th Century	
Leonardo	Da Vinci	Painting, Oil, Portrait, Landscape, Sculpture, Italy, 15th Century	
Steven	DaLuz	Painting, USA	
Pino	Daeni	Illustration, Painting, Portrait, Cover Art, Italy	
Louise	Dahl-Wolfe	Photography, Fashion, USA	
Farel	Dalrymple	Illustration, Watercolor, Author, Comic, Graphic Novel, DC Comics, Marvel, Cover Art, USA	
Salvador	Dalí	Painting, Oil, Gouache, Portrait, Landscape, Sculpture, Surrealism, Spain	
Henry	Darger	Illstration, Watercolor, Author, USA	
Geof	Darrow	Illustration, Comic, Graphic Novel, Cover Art, USA	
Honoré	Daumier	Illustration, Cartoon, Lithography, Ink, France, 19th Century	use lithography as additional keyword if subject doesn't take the style
